FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 84 Time= 1.125696 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.29e-16 MAX ERR= 1.38e-16 TIME ERR= 0.001255 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 85 Time= 1.148210 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.34e-16 MAX ERR= 1.43e-16 TIME ERR= 0.001220 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 86 Time= 1.170724 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.33e-16 MAX ERR= 1.43e-16 TIME ERR= 0.001187 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 87 Time= 1.193238 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.31e-16 MAX ERR= 1.40e-16 TIME ERR= 0.001155 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 88 Time= 1.215751 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.37e-16 MAX ERR= 1.48e-16 TIME ERR= 0.001125 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 89 Time= 1.238265 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.41e-16 MAX ERR= 1.51e-16 TIME ERR= 0.001097 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 90 Time= 1.260779 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.42e-16 MAX ERR= 1.52e-16 TIME ERR= 0.001070 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 91 Time= 1.283292 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.40e-16 MAX ERR= 1.50e-16 TIME ERR= 0.001044 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 92 Time= 1.305806 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.39e-16 MAX ERR= 1.49e-16 TIME ERR= 0.001020 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 93 Time= 1.328320 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.39e-16 MAX ERR= 1.48e-16 TIME ERR= 9.967e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 94 Time= 1.350834 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.42e-16 MAX ERR= 1.51e-16 TIME ERR= 9.747e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 95 Time= 1.373347 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.45e-16 MAX ERR= 1.55e-16 TIME ERR= 9.536e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 96 Time= 1.395861 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.46e-16 MAX ERR= 1.56e-16 TIME ERR= 9.336e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 97 Time= 1.418375 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.49e-16 MAX ERR= 1.59e-16 TIME ERR= 9.144e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 98 Time= 1.440888 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.51e-16 MAX ERR= 1.62e-16 TIME ERR= 8.962e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 99 Time= 1.463402 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.55e-16 MAX ERR= 1.65e-16 TIME ERR= 8.787e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 100 Time= 1.485916 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.56e-16 MAX ERR= 1.66e-16 TIME ERR= 8.621e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 101 Time= 1.508430 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.57e-16 MAX ERR= 1.68e-16 TIME ERR= 8.462e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
 +00:00:00| Step 102 Time= 1.530943 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.58e-16 MAX ERR= 1.70e-16 TIME ERR= 8.310e-4 Lanczos/BInv=(13) MEM(KiB)=8027 
